SMILES,pChEMBL Predicted
Clc1cc(Cl)cc(C2=CNc3ncc(C4=CN(C5CCN(C)CC5)N=C4)cc32)c1,7.177353345314661
CN(CC1)CCC1N2N=CC(c3cnc(NC=C4c5cc(OC)c(C)cc5F)c4c3)=C2,7.114883364836374
Clc1cc(C2=CNc3c2cc(C4=CN(N=C4)C5CCNCC5)cn3)cc(Cl)c1,7.15915333644549
COc1c(C)cc(F)c(C2=CNc3c2cc(C4=CN(N=C4)C5CCNCC5)cn3)c1,7.102983347574869
O=C(O)c1ccc2ccncc2c1,5.662208341360092
NC(=O)c1ccc2ccnc(N)c2n1,5.7766500353813175
Cc1ccc2c(c1)CN=C1NC=CC12,6.404419993718465
O=C(O)Cn1ccc(=O)c2cnccc21,6.017979787758418
Oc1ccc2c(c1O)CN=C1NC=CC12,6.058300009568532
O=C(O)CN1CCC(=O)c2cnccc21,5.662701076984406
Nc1cc2nc3ccccc3nc2cn1,6.003200027942658
Nc1nc(=O)c2c3c(cccn13)CC=C2,5.989733347098033
Nc1nc(=O)c2cccc3c(=O)ccn1c32,6.111284570807502
Nc1nccc2cc3c(O)cccc3nc12,6.016201185498918
CC(=O)Nc1ccnc(N2CCC(C)C2)c1,6.250820060729981
Cc1cccc2nc3cnc(N)cc3nc12,6.094526673475901
O=C(O)c1ccc2c(c1)CN=C1NC=CC12,6.439541131867303
C1=NC2=NC=NC2C(Nc2ccncc2)=N1,5.94563333272934
CC1CN(CC(=O)O)c2ccncc2C1=O,5.757390609673092
Cc1cc(O)c2c(c1)c1cnccc1n2C,6.384950017929077
CCCCNC1=CC=NC1Nc1ccn(C)n1,6.262197629326867
CC(=O)Nc1ccnc(N2CCN(C)CC2)c1,6.1958533654212955
Cn1c2ccncc2c2cc(C(=O)O)cc(O)c21,6.20130835056305
CCCCNC1=CC=NC1Nc1cc(C)n(C)n1,6.450567625000364
O=c1ncn2c3c(nc4ccccc42)CC=Cc13,5.984466695785523
Nc1nc(=O)c2cccc3c2n1C=CC3C(=O)O,6.0144321506364005
Nc1ncc2c(=O)n3ccnc3c3nccc3c12,6.533431501918369
O=c1ncn(Cc2ccccc2)c2ccccc12,5.628400025367736
CC(=O)NC1=CC=C2C(=CC=C2C2CCNC2)C1=O,5.832470060348511
CC1c2ccccc2-n2cnc(=O)c3cccc1c32,5.997366653283437
O=c1ncn2c3ccccc3c(=O)c3cccc1c32,6.0760571735245845
COC(=O)CCCNC(=O)c1ccc(C(N)=O)cc1,5.782850038210551
Nc1cccc(Cn2cnc(=O)c3ccccc32)c1,5.707275009155273
O=c1ncn2c3c(cccc13)C(O)c1ccccc1-2,5.761534512156532
O=C1C2=CC=C(c3ccoc3)C2=Cc2ccccc21,5.4113999938964845
CC(=O)NC1=CC=C2C(=CC=C2c2cc[nH]c2)C1=O,5.6268833454449965
COCCCN1C(=O)C=C2C(C(N)=O)=CC=C2C1=O,5.500516631603241
O=C(O)c1ccn(-c2ccnc(N3CCC(O)C3)c2)c1,5.714046178711784
CCCNc1cc2cc3cccc(C)c3nc2c(N)n1,5.849333324432373
NC(=O)c1ccc2c(c1)C(C1CCCC(O)C1)C(N)=N2,6.043553365627925
COc1cc2c(O)cc3cc(O)ccc3c2cc1OC,5.9131999731063845
Cc1ccccc1C(=O)n1cnc(=O)c2ccccc21,5.938700021505356
O=c1ncn(Cc2ccc(Cl)cc2F)c2ccccc12,5.834834540003822
CC(=O)Nc1cc2cc3cccc(C)c3nc2c(N)n1,5.755293334643045
CC(CCO)Oc1ccc2ccc3ccccc3c2c1,5.912166646321614
Oc1cc(O)c2c(ccc3cc4ncccc4cc32)c1O,6.1813809233620045
Cn1ncc2c3ccccc3nc(Nc3ccccc3)c21,6.1349726285253245
O=c1[nH]c(-c2ccccc2)cc2c1ccc1ccccc12,6.31692881419091
NC(=O)c1cc2nnc(NC3=CC=C(C(=O)O)C3)cc2s1,5.792999729368421
CC1(C)CCCC(C2C(N)=Nc3ccc(C(N)=O)cc32)C1,6.394820019960403
CC(C)CC1=CC2=C3C(=CC=C3C(C(=O)O)CCC2)C1=O,5.636250301731957
COC(=O)CNC1=NC(=O)C2=CC=C(C3CC=NC3=O)C2=C1,6.219570025602976
CN1N=C(Cc2cc(C3=CN=NC3)cnc2O)NC1CCO,6.659199983755748
COc1cc2c(O)cc3cc(C(=O)O)ccc3c2cc1OC,5.902649991512298
O=C1C(NC2CCCC2)=CC=C2C1=CC=C2C1CC=NC1=O,6.150750012397766
O=C1C(NC2CCOC2)=CC=C2C1=CC=C2C1CC=NC1=O,6.14865001964569
Cn1ccc2c3c(ccc21)cnc1ccc(C2NCCO2)cc13,6.493713337262472
CN(C1=NC(=O)C2=CC=C(c3ccoc3)C2=C1)c1ccccc1,5.532927504301072
Nc1ncc(C(=O)N2CCOCC2)c2nc3ccccc3nc12,5.870366673469544
CNC1C(O)CCC1Oc1ccc2ccc3ccccc3c2c1,6.334616646766661
Nc1ncc(C(=O)N2CCOCC2)c2nc3cc(O)ccc3nc12,6.043286656538645
CN(Cc1cnc(N)c2c(=O)n(C)c(=O)[nH]c12)c1ccccc1O,5.966957757737901
COc1ccc2nc(Nc3ccccc3)c3c(cnn3C)c2c1O,6.2250333487987515
CCCCC1NC(Cc2cc(-c3ccncc3)cnc2O)=NN1C,6.871779994487763
O=C(O)CCNC(=O)Cn1c2ccncc2c2cc(Cl)cc(O)c21,6.225408339500428
O=C(Cn1c2ccncc2c2cc(Cl)cc(O)c21)N1CCCCC1,6.151470010439555
CC1=NC(=O)C(NC2=CC=C3C(=CC=C3C3CC=NC3=O)C2=O)C1,6.237900011539459
Nc1ccc2nc3c(N)ncc(C(=O)N4CCCCC4)c3nc2c1,5.937333347797392
O=C1N=C(Nc2ccccc2F)C=C2C1=CC=C2C1CC=NC1=O,6.1057000160217285
O=C1C(CC2CCCCC2)=CC2=C3C1=CC=C3C(C(=O)O)CCC2,5.535910293949975
CC(CCn1cccc1)Oc1ccc2ccc3ccccc3c2c1,7.784466632207234
CCc1nn(C)cc1Cc1n[nH]nc1-c1ccc(C2=NN=CC2)s1,5.993350027402241
CC1CCCCN2CC(CC2=O)OC2=C3C(=CC=C3NC1)C=C=C2,5.892986695130666
O=C1C=c2c(=O)c3cccc4ccc5[nH]c6nnc(c6c2c5c43)C1,6.353107148919787
COc1ccc(Cc2n[nH]nc2-c2ccc(C3=NN=CC3)s2)cc1,5.977861701409022
Nc1nc2ccn(-c3ccccc3)c(=O)c2c2ncc(C(=O)O)cc12,6.131115521703448
Nc1ncc(C(=O)N2CCCCC2)c2cc3c(O)cc(O)cc3nc12,6.093736702601115
COc1cc(O)ccc1C1=C=Cc2nnc(Cc3ccccc3)cc21,5.556600001653035
Cc1cccc(OC2=C3C(=CC=C3NCC(C)CN(C)C)C=C=C2)c1,5.707999998728434
O=C(O)CN=Cc1ccc2cc3ccc(-c4ccncn4)cc3n2c1,5.848164288884118
CCN1CC(NC2=CC=C3C(=CC=C3C3CC=NC3=O)C2=O)CC1=O,6.2564833577473955
CCCCN=Cc1ccc2cc3ccc(-c4ccncn4)cc3n2c1,5.914339268411909
O=C(O)CCc1c(=O)c2ccc3c-2c2c1cc(O)cc2c(=O)[nH]c3=O,6.030440565883249
Cc1cc(O)c2cc3c(C(=O)N4CCCCC4)cnc(N)c3nc2c1,6.137641705671946
CC1CCC(O)CN2CC(CC2=O)OC2=C3C(=CC=C3NC1)C=C=C2,5.841266686757406
CCCN(CCOC)C(=O)c1cnc(N)c2cc3n(c12)CCC(C)=C3,6.153600029945373
COc1ccc2c(c1)-c1[nH]c(=O)c3ccc4ccccc4c3c1CO2,6.445366665903727
CN1CC(c2nc(N)c3c(C(=O)N4CCCCC4)cnc(N)c3n2)=CN1,5.941566689809163
CCc1nn(C(C)=O)cc1Cc1n[nH]nc1-c1ccc(C2=NN=CC2)s1,6.059850023587544
O=C(O)CN(C1=NC(=O)C2=CC=C(c3ccoc3)C2=C1)c1ccccc1,5.501240611564544
CCc1nn(C(C)O)cc1Cc1n[nH]nc1-c1ccc(C2=NN=CC2)s1,5.989750009377797
COc1ccc(-c2nnc(-c3ccc(C4=NN=CC4)s3)[nH]2)cc1C(=O)O,6.355968344132106
CC(CNC1=CC=C2C=C=CC(Oc3ccccc3O)=C21)CC(C)(C)C,5.378669060411908
NC(=O)CCNC(=O)Cn1c2ccncc2c2cc(C(=O)O)cc(O)c21,6.210841700236004
O=C(O)c1cc(O)c2c(c1)c1cnccc1n2CC(=O)N1CCCCC1,6.1246235992113744
CC(NC(=O)Cn1c2ccncc2c2cc(C(=O)O)cc(O)c21)C(=O)O,6.081216689745585
CN1N=C(Cc2cc(C3=CC=NC3)cnc2O)NC1=Cc1ccccc1,6.586696676333745
O=C(O)CCNC(=O)Cn1c2ccncc2c2cc(C(=O)O)cc(O)c21,6.198641697565716
CC(CC(=O)N(C)c1ccccc1)Nc1cc2sc(C(N)=O)cc2nn1,5.496468376466205
